ID,Username,Video URL,Mode,Created At,Content Preview
1,admin,https://www.facebook.com/share/r/17vdP9169a/,transcript,2025-12-01T15:58:04.828892,"**Vietnamese (Original):**
Tại sao bí quyết chơi aslatua là phải giữ cái phần khuỷu tay cao như vầy...."
2,admin,https://www.instagram.com/reel/DRpmv9YDQgp/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,transcript,2025-12-01T15:59:44.519935,"Tuyệt vời! Dưới đây là toàn bộ lời thoại của video và bản dịch tiếng Việt tương ứng.

**English**
**..."
3,admin,https://www.facebook.com/share/v/1DVHNeWnig/,transcript,2025-12-01T16:21:25.131961,"Chắc chắn rồi, đây là toàn bộ lời của bài hát trong video:

Có đôi khi tình em thờ ơ em nào biết
Lòn..."
1,admin,https://www.facebook.com/share/r/17xDMaZutX/,transcript,2025-12-01T16:28:12.878572,"Tuyệt vời! Dưới đây là toàn bộ lời thoại trong video và bản dịch sang tiếng Anh.

### **Original (Ti..."
4,tranchikien,https://www.facebook.com/share/v/16RbJzYqhL/,transcript,2025-12-01T17:41:00.999482,"Tuyệt vời! Dưới đây là toàn bộ lời thoại trong video bằng tiếng Việt và bản dịch sang tiếng Anh.

**..."
5,tranchikien,https://www.instagram.com/reel/DRWwJJpEQmS/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,transcript,2025-12-01T19:08:43.382650,"Chắc chắn rồi, đây là bản ghi lại lời thoại từ video và bản dịch sang tiếng Việt.

### **Original (I..."
1,tranchikien,https://www.instagram.com/reel/DRWwJJpEQmS/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,transcript,2025-12-01T19:47:14.330316,"Chắc chắn rồi! Dưới đây là bản ghi lại lời thoại từ video và bản dịch sang tiếng Việt.

**Bản gốc (T..."
2,tranchikien,https://www.instagram.com/reel/DQ_oXMejMsM/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,transcript,2025-12-01T19:58:55.004780,"Tuyệt vời! Dưới đây là bản ghi lại lời thoại từ video và bản dịch sang tiếng Việt.

**Bản gốc (Telug..."
3,tranchikien123,https://www.instagram.com/reel/DNsQAup3Kq4/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,transcript,2025-12-01T20:07:31.636818,"Chắc chắn rồi, đây là bản ghi lại lời thoại từ video của bạn.

[00:00] Nếu video bị cháy sáng như th..."
4,tranchikien123,https://www.instagram.com/reel/DRrpjbJjxg9/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,transcript,2025-12-01T20:13:38.443576,"Tuyệt vời! Dưới đây là bản ghi lại lời thoại từ video và bản dịch sang tiếng Việt.

**Lời thoại gốc ..."
5,tranchikien123,https://www.instagram.com/reel/DN5rj35E5ji/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,transcript,2025-12-01T20:19:04.548245,"[00:00] Ini dia 3 nomor WhatsApp AI yang dirahasiakan banyak orang.
**VI:** Đây là 3 số WhatsApp AI ..."
6,tranchikien123,https://www.instagram.com/reel/DPjIziekqIR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,transcript,2025-12-01T20:26:19.740360,"Tuyệt vời! Dưới đây là bản ghi lại lời thoại từ video và bản dịch sang tiếng Việt.

**Bản ghi lời th..."
7,tranchikien123,https://www.facebook.com/share/v/17i5SvWYrr/,transcript,2025-12-01T20:38:23.676553,"**Khi Gái Xinh Bị Hỏi Toán: 899+2 Bằng Bao Nhiêu?**

[00:00] 899 cộng 2 bằng mấy?
[00:03] Hả?
[00:04..."
8,tranchikien123,https://www.instagram.com/reel/DOI6UtVE0wo/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,transcript,2025-12-01T20:59:11.701410,"**Mẹo sửa lỗi điện thoại bị đơ do chế độ TalkBack**

[00:00] Chiều nay có một cậu bé đến nhà,
[00:02..."
9,tranchikien123,https://www.instagram.com/reel/DPLrm3Jkacl/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,transcript,2025-12-01T21:02:33.023045,"**Đừng để video bị ám màu: Hiểu đúng về cân bằng trắng (White Balance)**

[00:00] Không phải là bạn ..."
10,tranchikien123,https://www.instagram.com/reel/DPLrm3Jkacl/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,transcript,2025-12-01T21:06:39.081437,"**Bí mật về Cân Bằng Trắng giúp video đẹp hơn**

[00:00] Không phải là bạn quay xấu, chỉ là bạn chưa..."
